config_id,mode,pct,min_range_pct,min_vol_zscore,min_sign_consistency,barrier_k_tp,barrier_sl_base_mult,barrier_disp_floor,expansion_name,expansion_offsets,slice,side,kind,horizon,n_samples,label_pos_rate,mean_ret_bps,sharpe,sortino,weighted_ret_bps,n_days,opportunities_per_day,tp_sl_ratio
F_P06_S60,fixed,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,0,0,0,0,0,,,
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,2,0,0,0,0,0,0,,,
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S70,fixed,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,0,0,0,0,0,,,
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_tf,short,tf,2,0,0,0,0,0,0,,,
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
F_P06_S80,fixed,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,0,0,0,0,0,,,
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,2,0,0,0,0,0,0,,,
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R06,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,0,0,0,0,0,,,
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,2,0,0,0,0,0,0,,,
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R07,atr,0.06,0.07,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,0,0,0,0,0,,,
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,2,0,0,0,0,0,0,,,
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_R08,atr,0.06,0.08,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,0,0,0,0,0,,,
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,2,0,0,0,0,0,0,,,
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V14,atr,0.06,0.06,1.4,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,0,0,0,0,0,,,
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,2,0,0,0,0,0,0,,,
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V16,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V18,atr,0.06,0.06,1.8,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,0,0,0,0,0,0,,,
A_P06_V18,atr,0.06,0.06,1.8,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V18,atr,0.06,0.06,1.8,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
A_P06_V18,atr,0.06,0.06,1.8,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,0,0,0,0,0,,,
A_P06_V18,atr,0.06,0.06,1.8,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
